X,Y,tunniste,objektinVoimassaoloaika,haetunDatanVoimassaoloaika,rata,ratanumero,ratakm,pituus,seuraavaKilometrimerkki,icon_url
28.8879781191732,64.4373727821293,1.2.246.586.1.41.1007013487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","701","1000",1.2.246.586.1.41.1007023487028,./0.png
30.0148095244809,63.1267028543532,1.2.246.586.1.41.1007023158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","702","1000",1.2.246.586.1.41.1007033158070,./0.png
25.0625625382447,64.6360699761302,1.2.246.586.1.41.1007023158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","702","1000",1.2.246.586.1.41.1007033158072,./0.png
24.5709873773622,64.0795095452598,1.2.246.586.1.41.1007023160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","702","1000",1.2.246.586.1.41.1007033160119,./0.png
24.9625642627715,64.6124053844359,1.2.246.586.1.41.1007023486004,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3486004,"514","702","1000",1.2.246.586.1.41.1007033486004,./0.png
28.4474540647431,64.6615074235414,1.2.246.586.1.41.1007023487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","702","1000",1.2.246.586.1.41.1007033487026,./0.png
28.9081601941734,64.4394159937823,1.2.246.586.1.41.1007023487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","702","1000",1.2.246.586.1.41.1007033487028,./0.png
30.006128619536,63.1346899519826,1.2.246.586.1.41.1007033158070,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158070,"006","703","1000",1.2.246.586.1.41.1007043158070,./0.png
25.0724432314589,64.6439768727327,1.2.246.586.1.41.1007033158072,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3158072,"008","703","1001",1.2.246.586.1.41.1007043158072,./0.png
24.5519920362193,64.0826239465428,1.2.246.586.1.41.1007033160119,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3160119,"087","703","1000",1.2.246.586.1.41.1007043160119,./0.png
24.9428346748021,64.6153446308871,1.2.246.586.1.41.1007033486004,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3486004,"514","703","1000",1.2.246.586.1.41.1007043486004,./0.png
28.451639722656,64.6702996396773,1.2.246.586.1.41.1007033487026,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487026,"552","703","1000",1.2.246.586.1.41.1007043487026,./0.png
28.9287129596874,64.4406319369982,1.2.246.586.1.41.1007033487028,1921/12/31 22:00:00,1921/12/31 22:00:00,1.2.246.586.1.45.3487028,"554","703","1000",1.2.246.586.1.41.1007043487028,./0.png
